ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B08MCXJ7BB,Canon,90207.96,101.13,3,892,0.816,"Canon CLI-65 Genuine Eight Color Pack, Compatible with PIXMA PRO-200, and PIXMA PRO-200S Printers",1000,4.7,444,101.23,HiTouch Business Services a BU of Staples (87% AECXT73EGS1XW),4.15,15.1,2,660685221246,660685221246,4215C007
B08XZPVGM8,Canon,52952.16,30.93,1,1712,0.891,"Canon CL-276 XL Genuine Color Ink Cartridge, Compatible with TS3520/3522, TR4720/4722, TS3720/3722",1000,4.7,2013,30.99,Amazon,3.68,4.65,1,13803339376,13803339376,4987C001
B06XG3N8TZ,Canon,105530.8,61.75,8,1709,0.022,Canon KP-108IN Color Ink and Paper Set - Total of 216 Sheets and 6 Ink Cartridges,1000,4.8,1645,61,The Tudak Store (98% A22KFM5Z7ZZZ12),7,9.15,8,738283387845,738283387845,PS-KP-108IN-X2
B00ALMJT04,Canon,184308.9,120.7,4,1527,0.76,"Canon CLI-42 Genuine Eight Color Pack, Compatible with PIXMA PRO-100 Printers",900,4.7,3022,124,HiTouch Business Services a BU of Staples (87% AECXT73EGS1XW),5.37,16.93,6,660685051300,"4053162343290, 0660685051300, 4960999974194",6384B007
B00AH9JVJK,Canon,32198.66,20.99,1,1534,1,"Canon CLI-251XL Genuine Cyan Ink Tank, Compatible with MG6320, IP7220 & MG5420, MX922, MG5520, MG6420, MG7120, iX6820, iP8720, MG7520, MG6620, and MG5620 Printers",900,4.7,1240,20.65,Amazon,3.68,3.1,1,"013803151398, 804993385881","0013803151398, 0804993385881, 5436639817125, 5554442235933, 5554442395156, 7044447829599, 7174117296991, 7887117131116",6449B001
B0CV56TND5,Canon,375466.6,279.99,1,1341,1,"Canon Color imageCLASS MF652Cw - Wireless Laser Printer, Multifunction with Scanner, Copier, Mobile Ready, 3 Year Limited Warranty, 22 PPM Color, White",900,3.8,41,279.99,Amazon,56.31,22.4,1,13803340853,13803340853,5158C008
B0CHX3RYVM,Canon,28136.79,32.01,1,879,0.98,"Canon PG-285 XL Genuine Black Ink Cartridge, Compatible with TR7820, TS7720/7722",800,4.7,113,31.95,Amazon,3.33,4.79,1,13803371123,13803371123,6196C001
B00AH9JUH8,Canon,18071.88,20.63,2,876,1,"Canon CLI-251XL Genuine Gray Ink Tank, Compatible with MG6320, MG7120, iP8720, and MG7520 Printers",800,4.7,1849,21,Amazon,3.06,3.15,1,13803151541,13803151541,6452B001
B01LZ65XVH,Canon,18879,21,1,899,1,"Canon CL-244 Genuine Color Ink Cartridge, Compatible with iP2820, MX492, MG2420/2520/2920/2922/2924/3020/2525, TS3120/302/302a/202/4520/3320",800,4.6,69179,21,Amazon,3.68,3.15,1,13803272635,13803272635,1288C001
B00N99DC8Q,Canon,168633.6,87.83,1,1920,1,"Canon 137 Genuine Black Toner Cartridge Compatible with LBP151dw, MF210 Series, MF220 Series, MF230 Series, MF240 Series, D570",800,4.6,2648,89,Amazon,6.05,13.35,1,13803242935,13803242935,Cartridge 137
B07SQZNSQY,Canon,205910.1,231.1,2,891,0.811,"Canon PIXMA G6020 All-in-One Supertank Wireless (Megatank) Printer, Copier and Scan with Mobile Printing, Black, Works with Alexa",800,4,4112,229,Adorama (95% A17MC6HOH9AVE6),20.07,18.32,1,13803317824,13803317824,3113C002
B00161YM5Q,Canon,10992,16,1,687,0.831,"Canon PGI-35 Genuine Black Ink Tank, Compatible with PIXMA iP100, iP110, TR150 and TR160 Printers",800,4.8,1535,16,Amazon,3.68,2.4,2,"013803067682, 778890794964, 806296585913, 026487745005, 803983077010, 803982867322","0806296585913, 0026487745005, 0778890794964, 0013803067682, 4960999391755, 8714574527130, 0803982867322, 4960999391731, 0803983077010",PGI35
B0742PDTST,Canon,104367.6,63.6,2,1641,1,"Canon PG-210 XL / CL-211 XL Genuine Ink Value Pack (2 Cartridges), Compatible with MX320/330/340/350/410/420, MP240/250/270/280/480/490/495, iP2702",800,4.7,5987,64.8,ink-shop (98% AR4DZQOPH6L5U),4.55,9.72,2,"768202236343, 660685202214, 768202236275","0768202236343, 0768202236275, 0660685202214",2973B048
B0BSMJM9W1,Canon,191216.4,244.21,1,783,1,"Canon Color imageCLASS LBP632Cdw - Wireless Duplex Laser Printer, Single Function, Home Office, Mobile Ready, 22 PPM Color, White",700,4.1,717,243.3,ETech-Electronics (94% A2JL7P33ZUJ0RY),27.85,19.46,1,13803342079,13803342079,5159C003
B074TQM8X2,Canon,17577.54,22.71,5,774,0.756,"Canon PGI-280XL PGBK Compatible To TR7520,TR8520,TR8620,TS6120,TS6220,TS6320,TS702,TS8120,TS8220,TS8320,TS9120,TS9520 Printers",700,4.6,4817,22.39,Lights On Surplus (96% A1IB3O0IJDVMMR),3.68,3.35,2,13803287493,13803287493,2021C001
B0BSR7DCJJ,Canon,86008.32,111.99,1,768,0.979,"Canon 067 Genuine Yellow Toner Cartridge High Capacity Compatible with LBP633Cdw, LBP632Cdw, MF652Cdw, MF653Cdw, MF654Cdw, MF656Cdw",700,4.9,92,111.99,Amazon,5.42,15.96,1,13803341805,13803341805,5103C001
B07S88Y75G,Canon,326703.8,372.1,6,878,0.081,"Canon CRG 055 Standard Capacity Toner Cartridge for MF743 & MF741 Printers, Bundle with Black/Cyan/Magenta/Yellow",700,4.5,465,359.99,Woot (95% A1KWJVS57NX03I),12.85,35.78,5,192223102224,192223102224,3016C001 A
B0BSR6T22T,Canon,92906.66,93.94,2,989,1,"Canon 069 Genuine Black Toner Cartridge Compatible with MF753Cdw, MF751Cdw, LBP674Cdw",700,4.5,95,92.41,Amazon,5.66,13.86,2,13803347357,13803347357,5094C001
B00C0ZX1SQ,Canon,23243.22,30.03,7,774,0.041,Canon KP-108IN Color Ink/Paper Set,700,4.8,2838,30.87,BluebirdSales (98% A2WO9ZE4TIVE18),5.52,4.63,7,"013803098891, 778887900293, 887590415328","4053162249882, 0013803098891, 0778887900293, 0887590415328",3115B001AA
B0C86VL5FY,Canon,216759.7,278.97,1,777,1,"Canon imageCLASS MF462dw - Monochrome, Duplex Wireless Laser Printer, All-in-One with Scanner, Copier, Fax, Home or Office, Auto Document Feeder, Mobile Ready, 3 Year Limited Warranty, 37 PPM, White",700,4.2,223,279,Amazon,54.81,22.32,1,13803356908,13803356908,5951C015
