Supplier Name,Product Name,Brand,MPN,EAN,Supplier stock,Supplier Cost,,,,,,,,
Nektova,Beats Studio3 Wireless Noise Cancelling Headphones with Apple W1 Headphone Chip - White,Beats,MX3Y2LL/A,1.90199E+11,"1,000+",$105.00 ,,,,,,,,
Nektova,Beats Studio3 Wireless Noise Cancelling Over-Ear Headphones - Apple W1 Headphone  - Shadow Gray,Beats,MXJ92LL/A,1.90199E+11,571,$105.00 ,,,,,,,,
Nektova,Beats Studio3 Wireless Noise Cancelling Over-Ear Headphones - Apple W1 Headphone Chip - Matte Black,Beats,MX3X2LL/A,1.90199E+11,"1,000+",$105.00 ,,,,,,,,
Nektova,Berrcom Non-Contact Infrared Thermometer,Berrcom,JXB-178B,6.94766E+12,25,$10.00 ,,,,,,,,
Nektova,Blink - Smart Wifi Video Doorbell – Wired/Battery Operated with Sync Module 2 - Black,Blink,B08SGC46M9,8.40081E+11,12,$29.00 ,,,,,,,,
Nektova,Blink Mini Pan-Tilt Mount for Mini Smart,Blink,B08Z6MHCBW,8.40081E+11,"1,000+",$6.99 ,,,,,,,,
Nektova,BlueFlame 4 Way Headphone Splitter White BF2060,Blue Flame,BF2060,6.07266E+11,16,$0.00 ,,,,,,,,
Nektova,Bose QuietComfort Bluetooth Wireless Headphones - Blue Dusk,Bose,884367-1300,17817854603,116,$195.00 ,,,,,,,,
Nektova,Bose QuietComfort Bluetooth Wireless Headphones - Lilac,Bose,884367-1200,17817854597,108,$195.00 ,,,,,,,,
Nektova,Bose QuietComfort Bluetooth Wireless Headphones - white smoke,Bose,884367-0200,17817848985,76,$195.00 ,,,,,,,,
Nektova,Bose SoundLink Revolve+ II Portable Bluetooth Speaker - Luxe Silver,Bose,858366-1310,17817825429,12,$179.00 ,,,,,,,,
Nektova,Dell 22 Monitor - SE2225H,Dell,SE2225H,8.84116E+11,132,$75.00 ,,,,,,,,
Nektova,"Dell Inspiron 15.6"" FHD TOUCHSCREEN Laptop - AMD Ryzen 7 7730U - 16GB RAM - 512GB SSD - Windows 11",Dell,i3535-A813BLK-PUS,8.84116E+11,18,$480.00 ,,,,,,,,
Nektova,"Dell Inspiron 2-in-1 14"" FHD+ TOUCHSCREEN Laptop - AMD Ryzen 5 8640HS -  8GB Ram - 512GB SSD - win11 - Blue",Dell,i7445-5333BLU-PUS,8.84116E+11,427,$425.00 ,,,,,,,,
Nektova,Dell USB Slim DVD+/- RW Drive - Plug and Play - DW316 - Black,Dell,DW316,8.84116E+11,186,$23.00 ,,,,,,,,
Nektova,Dyson AM09 Hot + Cool Fan Heater - Iron/Silver,Dyson,61874-01-Dup,8.85609E+11,13,$319.00 ,,,,,,,,
Nektova,"Dyson Ball Multi Floor 2 Upright Vacuum, Iron/Yellow (Renewed)",Dyson,227633-01/33417502-CRG,8.85609E+11,39,$199.00 ,,,,,,,,
Nektova,Dyson Zone Absolute + BLCP,Dyson,376067-01,5.02516E+12,481,$195.00 ,,,,,,,,
Nektova,Dyson Zone Wireless Bluetooth Noise-Cancelling Air Purifying Headphones,Dyson,N663594W,5.02516E+12,965,$195.00 ,,,,,,,,
Nektova,ecobee SmartSensor (2 Pack) EB-RSHM2PK-01 - White,Ecobee,EB-RSHM2PK-01,6.27988E+11,10,$60.00 ,,,,,,,,
Nektova,College Football 25 Standard Edition - PlayStation 5,Electronic Arts,38203,14633382037,33,$7.99 ,,,,,,,,
Nektova,Madden NFL 25 Standard Edition - PlayStation 5,Electronic Arts,38292,14633382921,100,$34.99 ,,,,,,,,
Nektova,"Extra Fitbit Band for Luxe, Gray",Fitbit,Luxe-Band-Gray,8.10039E+11,117,$3.00 ,,,,,,,,
Nektova,"Extra Fitbit Band for Luxe, Pink",Fitbit,Luxe-Band-Pink,8.10039E+11,183,$3.00 ,,,,,,,,
Nektova,Fitbit Inspire 3 Health & Fitness Tracker - Midnight Zen,Fitbit,FB424BKBK-US,8.10074E+11,16,$76.00 ,,,,,,,,
Nektova,Fujifilm - Instax Link Wide Wireless Photo Printer - Ash White,Fuji,16719550,74101204759,32,$119.99 ,,,,,,,,
Nektova,Fujifilm Instax Mini EVO Instant Camera - Brown,Fuji,16812534,74101208467,50,$220.00 ,,,,,,,,
Nektova,Fujifilm Instax Mini Evo Instant Film Camera - Black,Fuji,85725124,74101204957,100,$220.00 ,,,,,,,,
Nektova,Garmin Dash Cam 67W - Eu spec,Garmin,010-02505-15,7.53759E+11,413,$164.00 ,,,,,,,,
Nektova,Google Pixel Buds A-Series - White,Google,GA02213-EU,1.93575E+11,900,$70.00 ,,,,,,,,
Nektova,Google TV Streamer (4K) - Porcelain,Google,GA05662-US,8.10037E+11,12,$95.00 ,,,,,,,,
Nektova,Google TV Streamer (4K) - Porcelain - CA SPEC,Google,GA05662-CA,8.10037E+11,"1,000+",$95.00 ,,,,,,,,
Nektova,GoPro HERO11 Black Mini,GoPro,CHDHF-111-TH,8.18279E+11,125,$145.00 ,,,,,,,,
Nektova,"HP 14"" HD Laptop - Intel Processor N150 - 4GB Ram - 128GB UFS - Win11 - Sky Blue",HP,14-dq6012dx,1.9899E+11,69,$185.00 ,,,,,,,,
Nektova,"HP Envy 2-in-1 14"" FHD TouchScreen Laptop - Intel Core 5 - 8GB Ram - 512GB SSD - Win11 - Silver",HP,14-es1013dx,1.98122E+11,84,$449.00 ,,,,,,,,
Nektova,"HP Victus 15.6"" FHD Gaming Laptop - Intel Core i7 - 16GB Ram - NVIDIA GeForce RTX 4050 - 512GB SSD - Win 11 - Blue",HP,15-fa1163dx,1.98122E+11,314,$799.00 ,,,,,,,,
Nektova,HP Victus 15.6” FHD Gaming Laptop - Intel Core i5-13420H - 16GB RAM - RTX 4050 Mica Silver - 512GB SSD - Win 11 - Black,HP,15-fa2709wm,1.98991E+11,126,$659.00 ,,,,,,,,
Nektova,"iRobot Roomba Combo i3+ (3574) Robot Vacuum & Mop – Self-Empty for Up to 60 Days, Clean by Room with Smart Mapping, Dual Multi-Surface Brushes for a Thorough Clean, Ideal for Homes with Pets",irobot,i357420,8.85155E+11,23,$339.00 ,,,,,,,,
Nektova,JBL XTREME3 Portable Bluetooth Speaker - Black,JBL,JBLXTREME3BLKAM,50036375054,293,$159.00 ,,,,,,,,
Nektova,"Lavazza BLUE Classy Mini Single Serve Espresso Coffee Machine LB 300, 5.3"" x 13"" x 10.2"" 2 Coffee selections: simple touch controls, 1 programmable free dose and 1 pre-set",Lavazza,LB300,41953000648,10,$66.00 ,,,,,,,,
Nektova,Lego 75343 Star Wars Dark Trooper Helmet,Lego,LEGO-75343,5.70202E+12,277,$88.00 ,,,,,,,,
Nektova,LEGO Botanical Collection Succulents,Lego,10309,6.73419E+11,11,$20.49 ,,,,,,,,
Nektova,LEGO City Burger Truck,Lego,60404,6.73419E+11,181,$11.00 ,,,,,,,,
Nektova,LEGO City Police Car,Lego,60312,6.73419E+11,38,$3.99 ,,,,,,,,
Nektova,LEGO City Police Car and Muscle Car Chase,Lego,60415,6.73419E+11,141,$8.49 ,,,,,,,,
Nektova,LEGO Classic Gray Baseplate,Lego,11024,6.73419E+11,72,$5.99 ,,,,,,,,
Nektova,LEGO Classic Green Baseplate,Lego,11023,6.73419E+11,72,$5.00 ,,,,,,,,
Nektova,LEGO Classic White Baseplate,Lego,11026,6.73419E+11,12,$3.99 ,,,,,,,,
Nektova,LEGO Creator  Flatbed Truck with Helicopter 3 in 1,Lego,31146,6.73419E+11,64,$10.00 ,,,,,,,,
Nektova,LEGO Creator Space Shuttle,Lego,31134,6.73419E+11,495,$8.00 ,,,,,,,,
Nektova,LEGO DREAMZzz Zoey's Cat Motorcycle,Lego,71479,6.73419E+11,21,$8.99 ,,,,,,,,
Nektova,LEGO Friends Beach Water Scooter,Lego,42623,6.73419E+11,25,$5.49 ,,,,,,,,
Nektova,LEGO Friends Horse and Pony Trailer,Lego,42634,6.73419E+11,11,$8.49 ,,,,,,,,
Nektova,LEGO Friends Karaoke Music Party,Lego,42610,6.73419E+11,171,$10.00 ,,,,,,,,
Nektova,LEGO Lotus Flowers,Lego,40647,6.73419E+11,238,$5.49 ,,,,,,,,
Nektova,LEGO NINJAGO Jay's Mech Battle Pack,Lego,71805,6.73419E+11,139,$5.49 ,,,,,,,,
Nektova,LEGO Sonic The Hedgehog Shadow's Escape,Lego,76995,6.73419E+11,392,$12.00 ,,,,,,,,
Nektova,LEGO Speed Champions Audi S1 e-tron Quattro,Lego,76921,6.73419E+11,64,$15.00 ,,,,,,,,
Nektova,LEGO Star Wars Captain Rex Y-Wing Microfighter,Lego,75391,6.73419E+11,62,$6.00 ,,,,,,,,
Nektova,LEGO Sunflowers,Lego,40524,6.73419E+11,190,$7.00 ,,Nektova,,,,,,
Nektova,"Lenovo IdeaPad 15.6"" FHD Laptop - AMD Ryzen 3 7320U - 4GB RAM- 128GB SSD - Win 11s - Blue",Lenovo,82VG00R2US,1.98155E+11,38,$199.00 ,,,,,,,,
Nektova,Logitech K950 Signature Slim Wireless Keyboard - Off White,Logitech,920-012429,97855192936,42,$39.00 ,,,,,,,,
Nektova,Logitech Lift Vertical Wireless Optical Ergonomic Mouse with 4 Customizable Buttons - Wireless - Graphite,Logitech,910-005448,5.09921E+12,"1,000+",$54.00 ,,Supplier Name,Brand,Product name,EAN,MPN,Supplier Cost,Supplier stock
Nektova,LyfTrack IR988 Non-Contact Digital Infrared Thermometer,LyfTrack,LyftrackIR988,5.29802E+12,659,$1.49 ,,,,,,,,
Nektova,Microsoft Xbox Series S 512GB  White,Microsoft,EP2-10050,1.96388E+11,51,$310.00 ,,,,,,,,
Nektova,Microsoft Xbox Series X 1TB - Digital Console - White,Microsoft,EP2-00692,1.96388E+11,144,$499.00 ,,,,,,,,
Nektova,Fantastic 4 [4K Ultra HD + Blu-ray + Digital HD],NA,35731038,2.45433E+12,73,$27.00 ,,,,,,,,
Nektova,Google Fi Sim Card,Nest,PC-NV-0029,8.42776E+11,10,$1.49 ,,,,,,,,
Nektova,Google Nest learning Thermostat 4th Gen + Nest Temperature Sensor Polished Silver - Pro Edition,Nest,GA05560-US,1.93575E+11,552,$169.00 ,,,,,,,,
Nektova,"Nest Learning Thermostat 3rd Generation, Stainless Steel",Nest,T3007ES/T3007EF,8.54448E+11,246,$127.00 ,,,,,,,,
Nektova,"Ninja AF150AMZ Air Fryer XL, 5.5 Qt. Capacity that can Air Fry, Air Roast, Bake, Reheat & Dehydrate, with Dishwasher Safe, Nonstick Basket & Crisper Plate and a Chef-Inspired Recipe Guide, Grey",Ninja,AF150AMZ,6.22357E+11,152,$99.00 ,,,,,,,,
Nektova,Super Mario RPG - Nintendo Switch  Game,Nintendo,6549054,45496599638,737,$30.99 ,,,,,,,,
