Supplier Name,Product name,MPN,Supplier Cost,Supplier stock,Brand
Wortmann,Ubiquiti Protect Viewport PoE HDMI-Output UFP-VIEWPORT,UFP-VIEWPORT,219.41,13,Ubiquiti 
Wortmann,"SSD 2.5"" 960GB  Samsung PM883 SATA 3 Ent. OEM",MZ7LH960HAJR-00005,97.44,"3,195",Samsung
Wortmann,"SSD 2.5"" 2TB  Samsung 870 QVO SATA 3 ",MZ-77Q2T0BW,156.69,117,Samsung
Wortmann,"SSD 2.5"" 500GB  Samsung 870 EVO SATA 3 ",MZ-77E500B/EU,67.09,409,Samsung
Wortmann,"SSD 2.5"" 1TB  Samsung 870 EVO SATA 3 ",MZ-77E1T0B/EU,109.65,31,Samsung
Wortmann,"SSD 2.5"" 2TB  Samsung 870 EVO SATA 3 ",MZ-77E2T0B/EU,180.21,53,Samsung
Wortmann,"SSD 2.5"" 4TB  Samsung 870 EVO SATA 3 ",MZ-77E4T0B/EU,322.45,54,Samsung
Wortmann,SSD M.2 (2280) 1TB Samsung 980 Basic (PCIe/NVMe),MZ-V8V1T0BW,93.97,356,Samsung
Wortmann,"SSD 2.5"" 960GB  Samsung PM9A3 Series (PCIe 4.0/NVMe)",MZQL2960HCJR-00A07,181.33,386,Samsung
Wortmann,"SSD 2.5"" 500GB  Samsung 870 EVO SATA 3~~~",MZ-77E500B/EU.,51.41,320,Samsung
Wortmann,"SSD 2.5"" 7.68TB  Samsung PM893 SATA 3 Ent. OEM ",MZ7L37T6HBLA-00A07,794.95,402,Samsung
Wortmann,"SSD 2.5"" 250GB  Samsung 870 EVO SATA 3~~~",MZ-77E250B/EU,43.57,157,Samsung
Wortmann,"SSD 2.5"" 1.92TB  Samsung PM893 SATA 3 Ent. OEM ",MZ7L31T9HBLT-00A07,275.41,249,Samsung
Wortmann,"SSD 2.5"" 2TB  Samsung 870 EVO SATA 3 ~~~",MZ-77E2T0B/EU.,145.49,242,Samsung
Wortmann,"SSD 2.5"" 3.84TB  Samsung PM893 SATA 3 Ent. OEM ",MZ7L33T8HBLT-00A07,514.08,234,Samsung
Wortmann,"SSD 2.5"" 15.36TB  Samsung PM9A3 Series (PCIe 4.0/NVMe)",MZQL215THBLA-00A07,1668.80,69,Samsung
Wortmann,"SSD 2.5"" 8TB  Samsung 870 QVO SATA 3 ~~~",MZ-77Q8T0BW.,536.48,139,Samsung
Wortmann,SSD M.2 (2280) 250GB Samsung 970 EVO Plus (NVMe) ~~~,MZ-V7S250BW,54.77,11,Samsung
Wortmann,SSD M.2 (22110) 960GB  Samsung PM9A3 Series (PCIe 4.0/NVMe),MZ1L2960HCJR-00A07,185.81,50,Samsung
Wortmann,SSD M.2 (2280) 1TB Samsung 990 PRO (PCIe 4.0/NVMe) ~~~,MZ-V9P1T0BW.,98.45,609,Samsung
Wortmann,SSD M.2 (2280) 4TB Samsung 990 PRO (PCIe 4.0/NVMe),MZ-V9P4T0BW,363.89,186,Samsung
Wortmann,SSD M.2 (2280) 1TB Samsung 990 EVO (PCIe/NVMe)***,MZ-V9E1T0BW,129.81,127,Samsung
Wortmann,SSD M.2 (2280) 2TB Samsung 990 EVO (PCIe/NVMe),MZ-V9E2T0BW,184.69,33,Samsung
Wortmann,SSD M.2 (2280) 4TB Samsung 990 PRO (PCIe 4.0/NVMe) ~~~,MZ-V9P4T0BW.,277.65,210,Samsung
Wortmann,SSD M.2 (2280) 2TB Samsung 990 PRO (PCIe 4.0/NVMe) ~~~,MZ-V9P2T0BW.,155.68,63,Samsung
Wortmann,SSD M.2 (2280) 1TB Samsung 990 EVO Plus (PCIe 5.0 /NVMe),MZ-V9S1T0BW,90.61,33,Samsung
Wortmann,SSD M.2 (2280) 2TB Samsung 990 EVO Plus (PCIe 5.0 /NVMe),MZ-V9S2T0BW,137.65,408,Samsung
Wortmann,SSD M.2 (2280) 4TB Samsung 990 EVO Plus (PCIe 5.0 /NVMe ,MZ-V9S4T0BW,320.21,186,Samsung
Wortmann,SSD M.2 (2280) 1TB Samsung 990 EVO Plus (PCIe 5.0 /NVMe)~~~,MZ-V9S1T0BW.,71.57,"1,825",Samsung
Wortmann,SSD M.2 (2280) 2TB Samsung 990 EVO Plus (PCIe 5.0 /NVMe)~~~,MZ-V9S2T0BW.,125.44,741,Samsung
Wortmann,SSD M.2 (2280) 4TB Samsung 990 EVO Plus (PCIe 5.0 /NVMe~~~,MZ-V9S4T0BW.,245.28,613,Samsung
Wortmann,SSD M.2 (2280) 1TB Samsung 9100 Pro (PCIe 5.0 /NVMe),MZ-VAP1T0BW,157.81,390,Samsung
Wortmann,SSD M.2 (2280) 2TB Samsung 9100 Pro (PCIe 5.0 /NVMe),MZ-VAP2T0BW,239.57,396,Samsung
Wortmann,SSD M.2 (2280) 4TB Samsung 9100 Pro (PCIe 5.0 /NVMe),MZ-VAP4T0BW,438.93,250,Samsung
Wortmann,"SSD 2.5"" SAS3 960GB  Samsung PM1653",MZILG960HCHQ-00A07,291.09,111,Samsung
Wortmann,"SSD 2.5"" SAS3 7.68TB  Samsung PM1653",MZILG7T6HBLA-00A07,1155.34,15,Samsung
