Supplier Name,Brand,MPN,Product name,Supplier stock,Supplier Cost
Rutronik,2J,2J5083P-150LL100-C04NRST,2J5083P 5G Antenna Adhesive,0,5.29
Rutronik,2J,2J5083P-300LL100-C20GST,2J5083P 5G Antenna Adhesive M,0,8.09
Rutronik,2J,2J510PCB-010/113-C667N,2J510PCB LTE Ant. 10cm SMA R/A,0,4.81
Rutronik,2J,2J510PCB-010/113-UFL,2J510PCB LTE Antenna,0,1.89
Rutronik,2J,2J510PCB-030RG174-C109N,2J510PCB LTE Ant. 30cm SMA R/A,0,3.97
Rutronik,2J,2J5115PCB_SP-015MC113-C292G,Antenna 2J5115 868MHz MMCX/SP,0,3.57
Rutronik,2J,2J5115PCB-015/113-UFL,Antenna 2J5115 868MHz UFL,0,2.89
Rutronik,2J,2J5124P-033LMR100-SE+TE,Antenna 2J5124P LTE 33cm SE+TE,0,4.78
Rutronik,2J,2J5124P-300LL100-C43GST,Antenna 2J5124P LTE 3m MCX/M RA Gold,0,7.62
Rutronik,2J,2J5124P-300LMR100-C20N,Antenna 2J5124P LTE 3m SMA/m,0,7.36
Rutronik,2J,2J5204P-250RG174-C04N,"Ant. 2J5204P 2,5M RG174 FME/F",0,5.09
Rutronik,2J,2J5204P-250RG174-C20N,"Ant. 2J5204P 2,5M RG174 SMA/M",0,4.3
Rutronik,2J,2J5204PW-300RG174W-C43GWST,Ant. 2J5204PW 3M MCX/M WHITE,0,3.7
Rutronik,2J,2J520W-250RG174W-C20N,"Antenna 2J520 2,5M SMA/M WHITE",0,3.7
Rutronik,2J,2J5215P-868-300LL100-C20NST,2J5215P TBar Adhesive SMA/m NI 3mLL100,0,5.49
Rutronik,2J,2J5224P-033LMR100-SE+TE,Antenna 2J5224P LTE 33cm SE+TE,0,4.49
Rutronik,2J,2J5224P-050LL100-C20NST,Ant. 2J5224P 50cm LL100 SMA/m,0,5.07
Rutronik,2J,2J5224P-250RG174-C20N,"Ant. 2J5224P 2,5M RG174 SMA/M",0,8.59
Rutronik,2J,2J5224P-300LMR100-C20N,Antenna 2J5224P LTE 3m SMA/m,0,7.08
Rutronik,2J,2J5224PR-250LL100-C20NST,"Ant.2J5224PR 2,5M LL100 SMA/M",0,8.59
Rutronik,2J,2J5224PRZ-250LL100-C20NST,"Ant.2J5224PRz 2,5M LL100 SMA/M",0,7.68
Rutronik,2J,2J530-250RG58-C85N,Adhesive GSM ant. penta band,0,3.9
Rutronik,2J,2J5410HP-600LL100-C20NST,Antenna 2J5410HP 6m LL100 SMA/m,0,16.82
Rutronik,2J,2J5415PCB-015MC113-UFL,"Antenna 2J5415 15CM 1,13MM UFL",0,2.95
Rutronik,2J,2J5424P-300LL100-C23NST,2J5424P LTE 3m LL100 FME/m NI,0,10.07
Rutronik,2J,2J550-250RG174-C04N,2J5504P ON GLASS ANTENNA FME/F,0,4.84
Rutronik,2J,2J5502P-015LL100-C115NST,Adhesive Ant 2J5502P 15cm LL100,0,7.38
Rutronik,2J,2J5504P-300RG174-C20N,"Antenna 2J5504P 3,0M SMA/M",0,3.49
Rutronik,2J,2J550PCB-868-010MC113-UFL,2J550PCB antenna 868MHz UFL,0,2.35
Rutronik,2J,2J560RPCB-030/113-U.FL,2J560RPCB Ant.GSM Penta U.FL,0,2.64
Rutronik,2J,2J560RPCB-030RG174-C20N,2J560RPCB Antenna GSM SMA male,0,4.23
Rutronik,2J,2J6000B-040RG174-C04N-C22N,Ant.2J6000B GPS-SMB/F-GSM-FME/F,0,15.61
Rutronik,2J,2J600M-500RG174-C04N-C20N,Ant. 2J600M GPS-SMA/M-GSM-FME/F,0,13.16
Rutronik,2J,2J6012B-2.4-020LL100-C115N_C20N,2J6012B WiFi+ISM (RP)SMA 20cm,0,29.16
Rutronik,2J,2J6015B-868-300RG174-C20N,"2J6015B,screwM10/35, 868MHz",0,21.86
Rutronik,2J,2J6024B-100MC113-UFL,2J6024B LTE ANTENNA UFL 1M,0,29.84
Rutronik,2J,2J6024B-TH19-100D302-C899GST,2J6024B LTE Screw 1m SMA/m Gold,0,13.92
Rutronik,2J,2J6024B-TH19-250LL100-C20N,"2J6024B LTE ScrewM 2,5m SMA/m",0,16.33
Rutronik,2J,2J6024B-TH19-500RG174-CE,2J6024B LTE ScrewM 5M CutEnd,0,16.82
Rutronik,2J,2J6024B-TH19-50DACAR302-C916N,"2J6024B LTE ANTENNA FME/m 2,5M",0,22.27
Rutronik,2J,2J6024BA-300DACAR302-C20N,2J6024Ba LTE MIMO ANT. SMA/m 3M,0,0
Rutronik,2J,2J6024BA-TH19-300LL-100-C20GST,2J6024Ba LTE MIMO ANT. SMA/m 3M,0,20.93
Rutronik,2J,2J6041PGF-040LL100-C20NRST-C20NBST,LTE/GPS/GLO 40cm SMA/m Sticker on top,0,15.05
Rutronik,2J,2J6041PGF-1000LL100-C20N_C20N,2J6041PGF LTE/GPS/GLO 10m SMA/m,0,47.64
Rutronik,2J,2J6041PGF-500LL100-C20N_C20N,2J6041PGF LTE/GPS/GLO 5m SMA/m,0,40.05
Rutronik,2J,2J6050BGF-TH19-150MC137G-3UFL,LTE/GNSS/Wifi-BLE ScrewMount,0,30.74
Rutronik,2J,2J6050BGF-TH19-150RG178-3UFL,LTE/GNSS/Wifi-BLE ScrewMount,0,37.84
Rutronik,2J,2J6083PA-300D302-C899G,2J6083Pa 5G 2xMIMO Adhesive SMA,0,0
Rutronik,2J,2J6084PGFA-300D302-C20GST,2J6084PGFa 2x5G MIMO/ GNSS Adhe,0,0
Rutronik,2J,2J610B-250RG174-C04N,"2J610 Hole m. ant. 2,5m FME/f",0,8.5
Rutronik,2J,2J610M-250RG174-C04N,"2J610 Magnetic ant. 2,5m FME/f",0,5.82
Rutronik,2J,2J610M-250RG174-C131N,"2J610 Magnetic ant.2,5m FME R/A",0,6.73
Rutronik,2J,2J620P-300RG174-C51N-C51N,2J6200P Antenna 3M 2xMMCX,0,16.88
Rutronik,2J,2J6302MP-050RG174-C115N,2J6302MP magnetic m. SMA-RP,0,5.38
Rutronik,2J,2J630MP-300RG174-C04N-C20N,ANT. 2J630MP GPS-FME/GSM-SMA/M,0,13.99
Rutronik,2J,2J630MP-500RG174-C04N-C20N,ANT.2J630MP GSM-FME/F/GPS-SMA/M,0,19.27
Rutronik,2J,2J630MP-500RG174-C20N-C20N,ANT.2J630MP GSM-SMA/M/GPS-SMA/M,0,16.88
Rutronik,2J,2J6506BA-250RG174-C20N-C20N-C20N,"2J6506Ba GPS,WIFI & GSM Antenna",0,78.04
Rutronik,2J,2J6515B-150RG174-C20G,2J6515B Antenna 868 MHz SMA/m,0,22.61
Rutronik,2J,2J6550BFGA-300-C20N-C22N-C115N,2J6550BFGa 2xLTE/GNSS/Wifi-BLE,0,45.2
Rutronik,2J,2J6600B-050RG174-C04N-C20N,"2J6600B GPS-SMA/M-GSM-FME/F 0,5",0,26.45
Rutronik,2J,2J6600B-050RG174-C44N-C44N,Ant. 2J6600B with MMCX/M x2,0,21.86
Rutronik,2J,2J6600B-050RG174HF-C23N-C27N,"Ant.2J6600B 0,5 RG174HF FME SMA",0,24.08
Rutronik,2J,2J6600B-120RG174-C44N-C44N,"Ant. 2J6600B 1,2m with MMCM/M",0,21.46
Rutronik,2J,2J6600B-250RG174-C04N-C20N,"2J6600B GPS-SMA/M-GSM-FME/F 2,5",0,28.91
Rutronik,2J,2J6600B-250RG174-C20N-C20N,"Ant. 2J6600B 2xSMA/M 2,5m",0,21.86
Rutronik,2J,2J6600B-300RG174-C96-C95,2J6600B COMBO GSM/GPS 3M FAKRA,0,29.84
Rutronik,2J,2J6600B-500RG174-C04N-C20N,2J6600B GPS-FME/F N GSM-SMA/M N,25,37.02
Rutronik,2J,2J6600B-500RG174-C20N-C20N,Ant.2J6600B GPS-SMA/M-GSM-SMA/M,0,27.45
