ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B08WT9LRZB,BELL,341.04,113.68,0,3,0,BELL MX-9 MIPS Dirt Helmet (Twitch Matte Black/Gray/White - 2X-Large),,4.8,1157,200,MS-ZONE LLC (95% A8FBV673VV0WG),13.23,30,0,768686403736,768686403736,7131643
B0DCH7WY3L,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss White - 2X-Large),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),13.23,21.59,0,196178114349,196178114349,7163964
B0B9QYQK73,BELL,299.91,99.97,2,3,0,Bell MX-9 MIPS Dirt Helmet (Tagger Splatter Gloss Bright Red/Gray - Large),,4.8,1159,134.43,United Motorsports Online (100% A2X621721YH9WS),14.55,20.16,2,196178146869,196178146869,7148496
B0762JVF1C,BELL,1488.6,165.4,3,9,0,BELL MX-9 MIPS Dirt Helmet (Matte Black - Small),,4.8,1157,135.96,Movatik (99% A1F1CRO6ZMXV7T),14.93,20.39,1,768686107719,768686107719,7091718
B0CCW7QFPR,BELL,506.28,168.76,1,3,0,BELL MX-9 MIPS Dirt Helmet (Alter Ego Gloss Red - Medium),,4.8,1157,119.96,XtremeHelmets (97% A1K67YQIQFK3SY),14.55,17.99,1,196178103923,196178103923,7157463
B0CCW7J4ML,BELL,408.99,136.33,1,3,0,BELL MX-9 MIPS Dirt Helmet (Zone Gloss Red - Medium),,4.8,1157,150,ROSEVILLE HONDA MOTORSPORTS (57% A2VFA2JUSRSOSU),14.55,22.5,1,196178103879,196178103879,7157453
B0B9Q9CF1G,BELL,,,,,,BELL MX-9 MIPS Dirt Helmet (Tagger Splatter Gloss Bright Red/Gray - Small),,4.8,1157,199.95,Longhorn Moto (98% A1TFBK3C7LO58P),14.55,29.99,0,196178146845,196178146845,7148494
B0762K6LBM,BELL,3864.23,168.01,4,23,0,BELL MX-9 MIPS Dirt Helmet (Matte Black - X-Large),,4.8,1159,135.96,Movatik (99% A1F1CRO6ZMXV7T),13.23,20.39,3,768686107740,768686107740,7091721
B094X8H7VJ,BELL,411.18,137.06,0,3,0,BELL MX-9 MIPS Dirt Helmet (Disrupt Matte Black/Red - Large),,4.8,1157,140,ROSEVILLE HONDA MOTORSPORTS (57% A2VFA2JUSRSOSU),14.55,21,0,768686439612,768686439612,7136318
B0BHSP3MTN,BELL,299.85,99.95,1,3,0,Bell MX-9 MIPS Dirt Helmet (McGrath Showtime 23 Gloss Black/Red - Medium),,4.8,1157,99.99,BTO Sports (94% ATN9II8PF8XLV),13.61,15,0,196178146807,196178146807,7148485
B0BHHHG53D,BELL,539.85,179.95,1,3,0,Bell MX-9 MIPS Dirt Helmet (Zone Gloss Navy/Retina - Large),,4.8,1157,179.95,Powersport Superstore (94% A3TGC5XRRCX4P2),13.23,26.99,0,196178032186,196178032186,7150271
